id,artist,title,duration
1,"Neznámý interpret","Waldemar Matuška - Slavíci z Madridu",0
2,"Ellie","Ellie - Školní vzpoura",0
3,"Neznámý interpret","Karel Gott - Trezor",0
4,"Neznámý interpret","Ivan Mládek - Černá hodinka",0
5,"Neznámý interpret","Muj cas",0
6,"Neznámý interpret","Ilona Csáková - Tornero",0
7,"Neznámý interpret","Rychlik jede do Prahy",0
8,"Neznámý interpret","Helena Vondráčková - Vzhůru k výškám",0
9,"Neznámý interpret","Ivan Mládek - Švagr má bagr",0
10,"Neznámý interpret","Blues pro tebe",0
11,"Neznámý interpret","Zelena je trava",0
12,"Neznámý interpret","Když se snáší déšť",0
13,"Neznámý interpret","E!E - Ferda Mravenec",0
14,"Spiritual Kvintet","Mlyny",0
15,"Ellie","Ellie - Párty emocí",0
16,"Neznámý interpret","Ivan Mládek - Švagr má bagr",0
17,"Neznámý interpret","U pøíbora  text",0
18,"Honza Nedvěd","Honza Nedvěd - Tulácký ráno",0
19,"Honza Nedved","Honza Nedvěd - Igelit",0
20,"Wabi Ryvola","Wabi Ryvola - Tak už mi má holka mává",0
