bezDiakritiky,sDiakritikou
Ivan Mladek,Ivan Mládek
Hana Hegerova,Hana Hegerová
Waldemar Matuska,Waldemar Matuška
Spiritual Kvintet,Spirituál Kvintet
Stanislav Hlozek,Stanislav Hložek
Hana Zagorova,Hana Zagorová
Frantisek Ringo Cech, František Ringo Čech
Honza Nedved,Honza Nedvěd
Bila kralovna,Bílá královna
Tak abyste to vedela,Tak abyste to věděla
Skolni vzpoura,Školní vzpoura
Party emoci,Párty emocí
Muj cas,Můj čas
Svagr ma bagr,Švagr má bagr
Tak uz mi ma holka mava,Tak už mi má holka mává
Wabi Danek,Wabi Daněk
Jiri Suchy,Jiří Suchý
Party v dome hruzy,Párty v domě hrůzy
Skejtak,Skejťák
Zas bude lip,Zas bude líp
U Pribora,U Příbora
Krajina posedla tmou,Krajina posedlá tmou
Jozin z bazin,Jožin z bažin
Mimoradna linka,Mimořádná linka
Helena Vondrackova,Helena Vondráčková
Ilona Csakova,Ilona Csáková
Slavici z Madridu,Slavící z Madridu
Ludek Sobota,Luděk Sobota
Rychlik jede do Prahy,Rychlík jede do Prahy
Vzhuru k vyskam,Vzhůru k výškám
Zelena je trava,Zelená je tráva
Sladke mameni,Sladké mámení
Tulacky rano,Tulácký ráno
Bara Basikova,Bára Basiková
Kdyz se snasi dest,Když se snáší déšť
Cerna hodinka,Černá hodinka
